INSIDE FIBER 4 WITH SIZE 12:
INSIDE FIBER 441 WITH SIZE 2:
NODE 136 receives from fiber(node,type): -1(154,0) 
NODE 153 receives from fiber(node,type): -1(154,0) 

INSIDE FIBER 468 WITH SIZE 2:
NODE 439 receives from fiber(node,type): 328(692,0) 120(644,0) 468(440,1) 468(439,0) 395(259,0) 199(143,0) 279(140,1) 317(139,0) 329(13,1) 
NODE 440 receives from fiber(node,type): 328(692,0) 120(644,0) 468(440,1) 468(439,0) 395(259,0) 199(143,0) 279(140,1) 317(139,0) 329(13,1) 

INSIDE FIBER 473 WITH SIZE 3:
NODE 36 receives from fiber(node,type): -1(38,1) 
NODE 39 receives from fiber(node,type): -1(38,1) 
NODE 296 receives from fiber(node,type): -1(38,1) 

INSIDE FIBER 487 WITH SIZE 2:
NODE 738 receives from fiber(node,type): 487(738,0) 
NODE 737 receives from fiber(node,type): 487(738,0) 

INSIDE FIBER 489 WITH SIZE 2:
NODE 518 receives from fiber(node,type): 489(517,1) 
NODE 517 receives from fiber(node,type): 489(517,1) 

INSIDE FIBER 490 WITH SIZE 2:
NODE 477 receives from fiber(node,type): 490(477,1) 
