Source Target
RpmGC RplX
RpmGC RpmI
RpmGC RplT
RpmGC RpmD
RpmGC RpmF
RpmGC RplB
RpmGC RpmB
RpmGC RplR
RpmGC RplM
RpmGC RpmGB
RpmGC RplO
RpmGC RplP
RpmGC RpmGA
RpmGC RpmEB
RpmGC RplL
RpmGC RpmH
RpmGC RplE
RpmGC RplV
RpmGC RpmJ
RpmGC RplK
RpmGC RplC
HemQ HemQ
ThiC ThiC
YfiY YusV
YfiY YfiZ
MtlA MtlF
YclK YclJ
SacX PtsA
SacX GamP
RsbQ RsbP
SecY FloT
SecY SecA
SecY FtsY
SecY SecG
EbrA EbrB
YdbJ YdbK
YlaC YlaD
YlaC RpoC
YlaC RpoB
SpoIIIAG SpoIIIAG
OpuAC OpuAB
OpuAC OpuAA
FpbN FpbQ
FpbN FpbO
RplI RplJ
RplI RplW
RplI RpsNB
RplI RplX
RplI RpmI
RplI RplT
RplI RpmD
RplI RpmF
RplI RplB
RplI RpmB
RplI RplR
RplI RplM
RplI RpmGB
RplI RplO
RplI RplP
RplI RpmGA
RplI RpmEB
RplI RplL
RplI RpmH
RplI RplE
RplI RplV
RplI RpmJ
RplI RplK
RplI RplC
FecC FecE
FecC FecD
FecC FecF
RocG RocG
RocG GltC
Ndh Mdh
FeuB YusV
FeuB FeuC
ManP ManR
MdxE MdxG
MdxE MdxF
RnpB RnpA
ThiU ThiV
ThiU ThiW
UreA UreB
UreA UreC
ComC ComGG
ComC ComGD
ComC ComGE
SigB RsbW
SigB RpoC
SigB RpoB
Mdh CitZ
Mdh PckA
Mdh CitG
Mdh Icd
Mdh SucC
Mdh CitB
Abh Abh
Abh AbrB
SkfE SkfF
AroB AroB
CitZ Icd
SucD SucC
RnpA RnpA
RnpA CshA
RnpA RpmH
KimA KimA
PhoD TatAD
SufB SufU
SufB SufC
RpoA RpoA
RpoA RpoY
RpoA MgsR
RpoA GreA
RpoA ComA
RpoA NusA
RpoA YlyA
RpoA CodY
RpoA RpoC
RpoA PcrA
RpoA CshA
RpoA CcpA
RpoA Btr
RpoA RpoB
EcsA EcsB
ComP ComX
ComP ComA
PxpB KinA
SinR SinR
SinR SlrR
SinR SlrA
SinR ScoC
CysJ CysJ
CysJ CysI
DapB DapB
YbaE YbaF
YbaE YbxA
RsbW RsbV
ParA DnaA
ParA ParB
YvfU YvfT
PbpC RodZ
PbpC MreC
PbpC PbpH
PbpC MreB
PbpC RodA
SsrA SmpB
AroH AroH
YusV YfiZ
YusV FeuC
MrpF MrpB
MrpF MrpG
MrpF MrpE
MrpF MrpC
MrpF MrpA
PstA PstC
PstA PstS
DnaC DnaE
DnaC DnaA
DnaC DnaX
DnaC RecO
DnaC DnaN
DnaC SsbA
DnaC RecA
DnaC DnaI
DnaC PriA
DnaC RecR
DnaC DnaD
DnaC HolA
DnaC HolB
DnaC RecF
DnaC YqaM
DnaC DnaG
DnaC PolC
TrnS-Gln GatB
TrnS-Gln GatA
EpsE FliG
EpsE EpsB
YirB YjbH
CtpA YneA
RsbRC RsbR
RsbRC YtvA
RsbRC RsbS
RsbRC RsbRD
RsbRC RsbT
RsbRC RsbRB
RplJ RplW
RplJ RpsNB
RplJ RplX
RplJ RpmI
RplJ RplT
RplJ RpmD
RplJ RpmF
RplJ RplB
RplJ RpmB
RplJ RplR
RplJ RplM
RplJ RpmGB
RplJ RplO
RplJ RplP
